"id";"Image";"Nom";"Référence";"Catégorie";"Prix de base";"Prix final";"Quantité";"État";
"1693";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8185B 54128G";"0BV8185B 54128G";"Bulgari";"182.500000";"219";"10";"0";
"1457";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6108 278/8G";"0BV6108 278/8G";"Bulgari";"182.500000";"219";"10";"0";
"1757";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6104 201318";"0BV6104 201318";"Bulgari";"182.500000";"219";"10";"0";
"1521";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8186KB 5193T5";"0BV8186KB 5193T5";"Bulgari";"449.166667";"539";"10";"0";
"1701";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 202218";"0BV6089 202218";"Bulgari";"157.500000";"189";"10";"0";
"1465";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 501/87";"0BV7027 501/87";"Bulgari";"140.833333";"169";"10";"0";
"1592";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6108 20144Z";"0BV6108 20144Z";"Bulgari";"182.500000";"219";"10";"0";
"1600";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6078KB 395/T3";"0BV6078KB 395/T3";"Bulgari";"365.833333";"439";"10";"0";
"1544";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5045 128/87";"0BV5045 128/87";"Bulgari";"140.833333";"169";"10";"0";
"1608";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8176B 504/13";"0BV8176B 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1552";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5036K 394/81";"0BV5036K 394/81";"Bulgari";"265.833333";"319";"10";"0";
"1616";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8194BF 504/13";"0BV8194BF 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1560";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8182B 901/8G";"0BV8182B 901/8G";"Bulgari";"265.833333";"319";"10";"0";
"1624";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6099 201318";"0BV6099 201318";"Bulgari";"182.500000";"219";"10";"0";
"1568";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5040K 200781";"0BV5040K 200781";"Bulgari";"449.166667";"539";"10";"0";
"1632";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6105B 20148H";"0BV6105B 20148H";"Bulgari";"140.833333";"169";"10";"0";
"1576";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8198B 544113";"0BV8198B 544113";"Bulgari";"265.833333";"319";"10";"0";
"1640";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8120B 501/8G";"0BV8120B 501/8G";"Bulgari";"140.833333";"169";"10";"0";
"1584";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8201BF 501/T3";"0BV8201BF 501/T3";"Bulgari";"182.500000";"219";"10";"0";
"1648";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8181B 54178G";"0BV8181B 54178G";"Bulgari";"215.833333";"259";"10";"0";
"1532";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6091B 20144Z";"0BV6091B 20144Z";"Bulgari";"140.833333";"169";"10";"0";
"1712";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8197 504/T5";"0BV8197 504/T5";"Bulgari";"174.166667";"209";"10";"0";
"1476";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6089 20294Z";"0BV6089 20294Z";"Bulgari";"157.500000";"189";"10";"0";
"1656";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6095 202555";"0BV6095 202555";"Bulgari";"182.500000";"219";"10";"0";
"1540";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8203 544618";"0BV8203 544618";"Bulgari";"182.500000";"219";"10";"0";
"1720";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6053BM 278/T5";"0BV6053BM 278/T5";"Bulgari";"165.833333";"199";"10";"0";
"1484";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8193B 504/13";"0BV8193B 504/13";"Bulgari";"157.500000";"189";"10";"0";
"1664";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8199BF 504/13";"0BV8199BF 504/13";"Bulgari";"182.500000";"219";"10";"0";
"1428";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5031TG 408087";"0BV5031TG 408087";"Bulgari";"890.833333";"1069";"10";"0";
"1728";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 539473";"0BV7027 539473";"Bulgari";"140.833333";"169";"10";"0";
"1492";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6098 2032H5";"0BV6098 2032H5";"Bulgari";"182.500000";"219";"10";"0";
"1672";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6102B 278/13";"0BV6102B 278/13";"Bulgari";"182.500000";"219";"10";"0";
"1436";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6086B 278/T5";"0BV6086B 278/T5";"Bulgari";"174.166667";"209";"10";"0";
"1736";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6085B 278/13";"0BV6085B 278/13";"Bulgari";"165.833333";"199";"10";"0";
"1500";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6107 205011";"0BV6107 205011";"Bulgari";"182.500000";"219";"10";"0";
"1680";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6109 278/8G";"0BV6109 278/8G";"Bulgari";"182.500000";"219";"10";"0";
"1444";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5041 400/6G";"0BV5041 400/6G";"Bulgari";"157.500000";"189";"10";"0";
"1744";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8189 54267E";"0BV8189 54267E";"Bulgari";"165.833333";"199";"10";"0";
"1508";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5036K 393/83";"0BV5036K 393/83";"Bulgari";"265.833333";"319";"10";"0";
"1688";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5033 400/80";"0BV5033 400/80";"Bulgari";"165.833333";"199";"10";"0";
"1452";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8203 54448G";"0BV8203 54448G";"Bulgari";"182.500000";"219";"10";"0";
"1752";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8193B 54321A";"0BV8193B 54321A";"Bulgari";"157.500000";"189";"10";"0";
"1516";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7027 504/73";"0BV7027 504/73";"Bulgari";"140.833333";"169";"10";"0";
"1696";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7030 504/73";"0BV7030 504/73";"Bulgari";"157.500000";"189";"10";"0";
"1460";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8134K 5324T3";"0BV8134K 5324T3";"Bulgari";"349.166667";"419";"10";"0";
"1760";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8205KB 5195T3";"0BV8205KB 5195T3";"Bulgari";"449.166667";"539";"10";"0";
"1524";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6088 203890";"0BV6088 203890";"Bulgari";"199.166667";"239";"10";"0";
"1704";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6092B 278/8G";"0BV6092B 278/8G";"Bulgari";"199.166667";"239";"10";"0";
"1468";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8180B 504/T5";"0BV8180B 504/T5";"Bulgari";"215.833333";"259";"10";"0";
"1651";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7029 531387";"0BV7029 531387";"Bulgari";"157.500000";"189";"10";"0";
"1595";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8208 545585";"0BV8208 545585";"Bulgari";"182.500000";"219";"10";"0";
"1603";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6082 376/5A";"0BV6082 376/5A";"Bulgari";"124.166667";"149";"10";"0";
"1547";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV5046TK 204081";"0BV5046TK 204081";"Bulgari";"549.166667";"659";"10";"0";
"1611";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV8182B 11215A";"0BV8182B 11215A";"Bulgari";"265.833333";"319";"10";"0";
"1555";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6083 20145A";"0BV6083 20145A";"Bulgari";"140.833333";"169";"10";"0";
"1619";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6096 20204L";"0BV6096 20204L";"Bulgari";"157.500000";"189";"10";"0";
"1563";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV6088 239/6G";"0BV6088 239/6G";"Bulgari";"199.166667";"239";"10";"0";
"1627";"http://www.promoslunettes.com/img/p/0.jpg";"Bulgari 0BV7031 501/81";"0BV7031 501/81";"Bulgari";"199.166667";"239";"10";"0";
