Id;Caracteristique
1605;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:50.1mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:marron_582900
1549;Longueur des branches:145mm,Largeur d'un verre:71mm,Largeur du pont:21mm,Largeur totale:308mm,Hauteur d'un verre:47mm,Matière:Plastique,Forme:Pantos,Genre:Homme,Couleur:gris_606060
1613;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:50.3mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1557;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:52mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:marron_582900
1621;Longueur des branches:135mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:263mm,Hauteur d'un verre:46.6mm,Matière:Plastique,Forme:Rectangle,Genre:Femme,Couleur:Gris_606060
1565;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:51mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1629;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:271mm,Hauteur d'un verre:49.6mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1573;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:Gris_606060
1637;Longueur des branches:140mm,,Largeur du pont:137mm,Largeur totale:277mm,Hauteur d'un verre:mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1581;Longueur des branches:140mm,,Largeur du pont:137mm,Largeur totale:277mm,Hauteur d'un verre:mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:violet_660099
1645;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:51.3mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:rose_FD6C9E
1589;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:266mm,Hauteur d'un verre:51.3mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1709;Longueur des branches:145mm,Largeur d'un verre:50mm,Largeur du pont:22mm,Largeur totale:267mm,Hauteur d'un verre:49.2mm,Matière:Métal,Forme:Ronde,Genre:Homme,Couleur:marron_582900
1473;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:20mm,Largeur totale:268mm,Hauteur d'un verre:45.8mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1537;Longueur des branches:140mm,Largeur d'un verre:54mm,Largeur du pont:20mm,Largeur totale:268mm,Hauteur d'un verre:45.8mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1717;Longueur des branches:145mm,Largeur d'un verre:60mm,Largeur du pont:14mm,Largeur totale:279mm,Hauteur d'un verre:53.1mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
1481;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:48.1mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1661;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:48.1mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:rose_FD6C9E
1725;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:48.1mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:marron_582900
1489;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:18mm,Largeur totale:268mm,Hauteur d'un verre:52.1mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:gris_606060
1669;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:14mm,Largeur totale:276mm,Hauteur d'un verre:51.6mm,Matière:Métal,Forme:Pilote,Genre:Femme,Couleur:gris_606060
1433;Longueur des branches:140mm,Largeur d'un verre:61mm,Largeur du pont:14mm,Largeur totale:276mm,Hauteur d'un verre:51.6mm,Matière:Métal,Forme:Pilote,Genre:Femme,Couleur:violet_660099
1733;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:22mm,Largeur totale:268mm,Hauteur d'un verre:51.8mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:violet_660099
1497;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur totale:271mm,Hauteur d'un verre:49mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1677;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur totale:271mm,Hauteur d'un verre:49mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
1441;Longueur des branches:145mm,Largeur d'un verre:54mm,Largeur du pont:18mm,Largeur totale:271mm,Hauteur d'un verre:49mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
1741;Longueur des branches:145mm,Largeur d'un verre:55mm,Largeur du pont:19mm,Largeur totale:274mm,Hauteur d'un verre:45.2mm,Matière:Plastique,Forme:Rectangle,Genre:Homme,Couleur:marron_582900
1505;Longueur des branches:145mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:271mm,Hauteur d'un verre:46mm,Matière:Plastique,Forme:Ronde,Genre:Femme,Couleur:gris_606060
1685;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:20mm,Largeur totale:272mm,Hauteur d'un verre:51.4mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
1449;Longueur des branches:140mm,Largeur d'un verre:62mm,Largeur du pont:12mm,Largeur totale:276mm,Hauteur d'un verre:52.2mm,Matière:Métal,Forme:Ronde,Genre:Femme,Couleur:gris_606060
