ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité;Caractéristique
2170;0;Bulgari 0BV5035TK 395/81;82,68;639;1;400;0BV5035TK 395/81;3;30;8053672433517;10;Longueur des branches:145mm,Largeur d'un verre:60mm,Largeur du pont:14mm,Largeur totale:279mm,Hauteur d'un verre:48.4mm,Matière:Titane,Forme:Ronde,Genre:Homme,Couleur:gris_606060
2171;0;Bulgari 0BV8161B 501/8G;82,69;159;1;97.83;0BV8161B 501/8G;3;30;8053672414868;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:18mm,Largeur totale:270mm,Hauteur d'un verre:48.9mm,Matière:Plastique,Forme:Pantos,Genre:Femme,Couleur:Gris_606060
2172;0;Bulgari 0BV6078KB 395/T3;82,69;439;1;275;0BV6078KB 395/T3;3;30;8053672441635;10;Longueur des branches:135mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:265mm,Hauteur d'un verre:52.6mm,Matière:Métal,Forme:Carré,Genre:Femme,Couleur:gris_606060
2173;0;Bulgari 0BV5037 400/6G;82,68;169;1;106.17;0BV5037 400/6G;3;30;8053672471618;10;Longueur des branches:140mm,Largeur d'un verre:59mm,Largeur du pont:13mm,Largeur totale:271mm,Hauteur d'un verre:51.4mm,Matière:Métal,Forme:Pilote,Genre:Homme,Couleur:gris_606060
2174;0;Bulgari 0BV8169Q 977/13;82,69;199;1;127;0BV8169Q 977/13;3;30;8053672702866;10;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2175;0;Bulgari 0BV6082 376/5A;82,69;149;1;95.83;0BV6082 376/5A;3;30;8053672547436;10;Longueur des branches:135mm,Largeur d'un verre:58mm,Largeur du pont:18mm,Largeur totale:269mm,Hauteur d'un verre:50.5mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2176;0;Bulgari 0BV6082 376/8G;82,69;159;1;97.83;0BV6082 376/8G;3;30;8053672547405;10;Longueur des branches:135mm,Largeur d'un verre:58mm,Largeur du pont:18mm,Largeur totale:269mm,Hauteur d'un verre:50.5mm,Matière:Métal,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2177;0;Bulgari 0BV8171B 53908G;82,69;189;1;118.67;0BV8171B 53908G;3;30;8053672547177;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:16mm,Largeur totale:270mm,Hauteur d'un verre:53.7mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:gris_606060
2178;0;Bulgari 0BV6083 20188G;82,69;169;1;106.17;0BV6083 20188G;3;30;8053672596229;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:gris_606060
2179;0;Bulgari 0BV6083 20206J;82,69;169;1;106.17;0BV6083 20206J;3;30;8053672596243;10;Longueur des branches:140mm,Largeur d'un verre:56mm,Largeur du pont:17mm,Largeur totale:269mm,Hauteur d'un verre:48.3mm,Matière:Métal,Forme:Pantos,Genre:Femme,Couleur:bleu_0000FF
2180;0;Bulgari 0BV8176B 504/13;82,69;189;1;118.67;0BV8176B 504/13;3;30;8053672594379;10;Longueur des branches:140mm,Largeur d'un verre:57mm,Largeur du pont:17mm,Largeur totale:271mm,Hauteur d'un verre:46.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:Gris_606060
2181;0;Bulgari 0BV8177 504/13;82,69;169;1;106.17;0BV8177 504/13;3;30;8053672594515;10;Longueur des branches:140mm,Largeur d'un verre:53mm,Largeur du pont:20mm,Largeur totale:266mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:marron_582900
2182;0;Bulgari 0BV8178 11177E;82,69;169;1;106.17;0BV8178 11177E;3;30;8053672595291;10;Longueur des branches:135mm,Largeur d'un verre:57.1mm,Largeur du pont:15mm,Largeur totale:264.2mm,Hauteur d'un verre:48.5mm,Matière:Plastique,Forme:Papillon,Genre:Femme,Couleur:rose_FD6C9E
2183;0;Bulgari 0BV8182B 11215A;82,69;319;1;200;0BV8182B 11215A;3;30;8053672762938;10;Longueur des branches:140mm,Largeur d'un verre:55mm,Largeur du pont:17mm,Largeur totale:267mm,Hauteur d'un verre:49.6mm,Matière:Plastique,Forme:Carré,Genre:Femme,Couleur:marron_582900
